throttle,steer,vx,vy,yawdot,dt,slip_front,slip_back,ay,fy
-0.5,0.21352896,10.194653,0.6356141,0.82815915,0.022971569,0.12543656,-0.09882598,-0.9105516475605157,-1679.9677897491513
1.0,0.054083142,9.606996,0.2882238,0.39765665,0.022223838,0.06238411,-0.052192148,-15.63142693894727,-28839.982702357713
1.0,0.035857413,9.60294,0.23091468,0.33186102,0.023023415,0.05111555,-0.044576246,-2.489166789548812,-4592.5127267175585
1.0,0.0035368328,9.663079,0.12165022,0.20294306,0.019454703,0.02908146,-0.029105121,-5.616351994682212,-10362.169430188682
0.64421153,-0.07608378,11.277763,-0.27216926,-0.3124966,0.019338954,-0.045861423,0.031000022,-20.36405278175852,-37571.67738234447
0.8900183,-0.028969994,11.629371,-0.17246233,-0.25886503,0.019114094,-0.032348022,0.029427668,5.216408897015993,9624.274414994508
1.0,0.050430615,11.975663,0.034609795,-0.076551855,0.021142598,-0.0022053984,0.015543526,9.794071901665065,18070.062658572046
1.0,0.18829462,12.466519,0.37961012,0.31561086,0.021392057,0.05025787,-0.020019703,16.12749652826748,29755.231094653496
1.0,0.8906619,13.02026,0.78313243,1.7789375,0.020792281,0.16659977,-0.20841436,19.40731322359485,35806.4928975325
1.0,0.92192954,12.978224,0.7267892,1.8482347,0.02229467,0.16705804,-0.22328438,-2.5272062784513056,-4662.6955837426585
1.0,0.97117394,12.722656,0.3967357,2.0333192,0.018586995,0.15650761,-0.27875286,-17.757227566909016,-32762.084860947136
1.0,0.9691156,12.588716,0.24114376,2.0863283,0.019808136,0.14942165,-0.30046266,-7.854951117056143,-14492.384810968584
1.0,0.86625314,12.086282,-0.2556446,2.2029793,0.019920375,0.12301788,-0.36535484,-24.938705220157754,-46011.91113119105
1.0,0.7471298,11.853128,-0.45892453,2.2621043,0.021773001,0.11252726,-0.39498094,-9.33633034784686,-17225.529491777455
1.0,0.10849088,12.27525,-1.5448053,1.7765042,0.020638604,-0.009987499,-0.39075366,-52.61406100916515,-97072.9425619097
1.0,0.05919572,12.503764,-1.7251654,1.4882408,0.020604258,-0.042388327,-0.35704693,-8.753535312943574,-16150.272652380894
1.0,0.06338214,13.234968,-1.5401127,0.77042717,0.019467656,-0.06916383,-0.22705989,9.505648754015388,17537.92195115839
1.0,0.16247754,13.863827,-0.8301649,0.62715906,0.019954098,-0.023516266,-0.14818314,35.57904747185265,65643.34258556813
1.0,0.2321749,14.520123,-0.17181946,0.8400976,0.020713383,0.034203783,-0.12600459,31.783578761615136,58640.702815179924
1.0,0.22525449,14.72973,-0.08953588,0.91799474,0.020832498,0.043456886,-0.12911986,3.94977020998634,7287.3260374247975
1.0,-0.12327874,16.653383,-0.8633267,0.024031311,0.018662827,-0.050341383,-0.054346744,-41.46160814757593,-76496.66703227759
1.0,-0.1407511,16.769457,-0.8683642,-0.108008645,0.019642085,-0.056537304,-0.038651038,-0.2564646268458785,-473.17723653064587
1.0,-0.1440547,18.308134,0.17713961,-0.9098575,0.01876504,-0.029909723,0.10805424,55.71551193069666,102795.11951213534
1.0,-0.12068489,18.515018,0.39411697,-0.8918875,0.022725718,-0.01715613,0.116467014,9.547656976118423,17615.42712093849
1.0,-0.07505675,18.853346,0.71872187,-0.80578643,0.020298325,0.003909194,0.122335024,15.991708675469527,29504.702506241276
1.0,-0.06024355,18.964842,0.8112514,-0.7623829,0.02015169,0.010560672,0.12192236,4.5916511220646985,8471.596320209368
1.0,-0.031404603,19.193167,0.96884376,-0.6565109,0.020625208,0.02299036,0.11772634,7.640764641015989,14097.210762674498
1.0,0.06817487,21.318289,0.4043069,0.29311836,0.021056477,0.029816214,-0.00849393,-26.8106036921561,-49465.563812028005
1.0,0.0697046,21.585995,0.22106926,0.34618914,0.019864311,0.022961043,-0.021729914,-9.224464921033508,-17019.137779306824
