steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
21,155.0,-96.0,0.8726650920503556,-6.663453455817284e-08,-1.3925538896963453e-06,0.0,915.9227574600915,-1.8293635821621188,1.0,0.06794146448373795,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.016317658126354218,-1
22,155.00009155273438,-95.99977111816406,0.8726661573147916,-0.0024381239011575084,-0.02396163846543157,6.789751044701143e-05,915.9229992733971,-1.8294234708383676,1.0,0.06333447992801666,0.0,164.10348510742188,-101.85767364501953,149.1736602783203,-91.32708740234375,0.015689300373196602,-1
23,155.00039672851562,-95.99966430664062,0.8726666899470096,-0.0014615659589645481,-0.01771731530874953,3.1455980688362755e-05,915.9232677448194,-1.8292387192140476,1.0,0.057860422879457474,0.0,164.1036376953125,-101.85746002197266,149.17381286621094,-91.32688903808594,0.016932621598243713,-1
24,155.0005340576172,-95.99951171875,0.8726656246825736,-0.0009019147464497963,-0.00959160014740534,-6.29681092323903e-05,915.9234742913783,-1.829216813092649,1.0,0.05160500481724739,0.0,164.103759765625,-101.85730743408203,149.17391967773438,-91.32674407958984,0.016917522996664047,-1
25,155.0006103515625,-95.99942779541016,0.8726650920503556,-0.0004898399412300624,-0.004362267655937464,-3.10354067618851e-05,915.9235883683012,-1.829204146277503,1.0,0.04458577558398247,0.0,164.10382080078125,-101.85721588134766,149.17398071289062,-91.32665252685547,0.017162082716822624,-1
26,155.0006866455078,-95.9993896484375,0.8726648257342465,0.003637071131871266,-0.0023461604501308865,-1.626999404837147e-05,915.9236648857946,-1.8291646623777447,1.0,0.036889635026454926,0.0,164.10385131835938,-101.8571548461914,149.17401123046875,-91.32659149169922,0.016368543729186058,-1
27,155.00379943847656,-95.99555206298828,0.8727627634833341,0.36626401892432436,0.009228537264881792,0.005957052366718868,915.9286551767846,-1.8288900064219868,1.0,0.028492966666817665,0.0,164.10670471191406,-101.85311126708984,149.17674255371094,-91.32271575927734,0.01644063927233219,-1
28,155.01004028320312,-95.98780822753906,0.8726828686506318,0.6986327504257597,0.014482020475445723,-0.004923167120914947,915.9387088812018,-1.82836799330475,1.0,0.020014865323901176,0.0,164.1124725341797,-101.844970703125,149.1822967529297,-91.31489562988281,0.016228340566158295,-1
29,155.0192413330078,-95.97659301757812,0.8728410604193825,0.9633954948473407,0.015059523314399692,0.009896509531719676,915.9533526480476,-1.8274788624272624,1.0,0.010764500126242638,0.0,164.12083435058594,-101.83311462402344,149.1903076171875,-91.30351257324219,0.01598460227251053,-1
30,155.0308837890625,-95.96251678466797,0.8729917287580538,1.2475884270359023,0.013618700219963253,0.009743093668574884,915.9717962268031,-1.8262842974295193,1.0,0.0012903050519526005,0.0,164.13133239746094,-101.81816101074219,149.2003936767578,-91.2891616821289,0.0154641168192029,-1
31,155.0453338623047,-95.94515228271484,0.8730557777822702,1.497126918247016,0.008201539308831385,0.004080816072090966,915.9946179954094,-1.824735940494295,1.0,-0.008161881007254124,0.0,164.1443634033203,-101.79972839355469,149.212890625,-91.2714614868164,0.015695150941610336,-1
32,155.06324768066406,-95.923828125,0.8730274151166608,1.7347973414663729,-0.00037614369114302715,-0.0017097617365563753,916.0227238781266,-1.8226924441012913,1.0,-0.017463769763708115,0.0,164.160400390625,-101.77696990966797,149.22830200195312,-91.24961853027344,0.016588665544986725,-1
33,155.0813751220703,-95.90241241455078,0.8729060415499804,1.9298397969696026,-0.010421241286361349,-0.008147334516895852,916.0510331417606,-1.8205233717604195,1.0,-0.026580864563584328,0.0,164.17654418945312,-101.75406646728516,149.24378967285156,-91.22763061523438,0.014897334389388561,-1
34,155.10548400878906,-95.87419891357422,0.8726110298802269,2.1429421921409975,-0.024215940029596705,-0.01662965379886471,916.0884627306615,-1.8174721694326026,1.0,-0.03515894338488579,0.0,164.19789123535156,-101.72380065917969,149.2642822265625,-91.19857788085938,0.017740096896886826,-1
35,155.12966918945312,-95.84613800048828,0.8721989057015371,2.323390466526656,-0.038017218789639706,-0.025356234004099663,916.1258147425535,-1.8142593602389887,1.0,-0.0432739295065403,0.0,164.21917724609375,-101.69357299804688,149.2847137451172,-91.1695556640625,0.016253367066383362,-1
36,155.15847778320312,-95.81305694580078,0.8715733291614776,2.507652107647887,-0.05396463344893476,-0.03511441381688369,916.1700251143883,-1.8102175568463919,1.0,-0.05061107501387596,0.0,164.24436950683594,-101.65779876708984,149.3089141845703,-91.13521575927734,0.017815377563238144,-1
37,155.18685913085938,-95.78069305419922,0.8708419585471145,2.6669663411141182,-0.06902451536589482,-0.04463377365706165,916.2133958251243,-1.806088947010836,1.0,-0.05733124539256096,0.0,164.26910400390625,-101.62273406982422,149.3326416015625,-91.10155487060547,0.016386035829782486,-1
38,155.21517944335938,-95.74867248535156,0.8700123838675549,2.809379464524033,-0.08363442080017314,-0.05384113825123627,916.256449394669,-1.8017952157497468,1.0,-0.06342325359582901,0.0,164.2936248779297,-101.58790588378906,149.35618591308594,-91.06812286376953,0.015407822094857693,-1
39,155.2460479736328,-95.71405792236328,0.8690063081867502,2.9501027818566348,-0.09880802680461076,-0.06324700423927491,916.3031415059331,-1.7969315268619168,1.0,-0.06858409941196442,0.0,164.3202362060547,-101.55011749267578,149.38174438476562,-91.03184509277344,0.015907088294625282,-1
40,155.28421020507812,-95.67157745361328,0.8676375099654767,3.1080739681233034,-0.11544475712005453,-0.07354250338622047,916.360609904848,-1.7907131485672512,1.0,-0.07223286479711533,0.0,164.35296630859375,-101.503662109375,149.41314697265625,-90.98724365234375,0.018612341955304146,-1
