steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel
3856,-164.59732055664062,69.78121185302734,1.4774531963778919,20.668974028052,1.6724673113723802,1623.6889283398134,-1.5528510754785052,1.0,-0.11952029168605804,0.0,-155.91290283203125,69.10755157470703,-170.5560302734375,71.03936004638672,-0.0650739558462268,-0.03406545553551499,0.03113567557077538,None,23.949218492594905
3857,-164.59320068359375,70.15005493164062,1.4639071606512584,20.671722438495472,1.6589600574450958,1624.0313425557215,-1.5772576674952201,1.0,-0.11870349198579788,0.0,-155.87838745117188,69.35723876953125,-170.4961700439453,71.47219848632812,-0.06424719739976206,-0.03363129143056764,0.03126265340032152,None,23.90053238272009
3858,-164.582275390625,70.56046295166016,1.4488417915227345,20.68337467788118,1.6448210531523728,1624.4120580340493,-1.6035582826053452,1.0,-0.11750300973653793,0.0,-155.83619689941406,69.63507080078125,-170.4230499267578,71.95384216308594,-0.063625711164682,-0.0333049586373409,0.03149371598806769,None,23.81269445380423
3859,-164.56732177734375,70.92485046386719,1.435478581804935,20.700655365296527,1.6326971358875535,1624.7499018345918,-1.626547915024589,1.0,-0.1217033788561821,0.0,-155.79420471191406,69.88890838623047,-170.35023498535156,72.39386749267578,-0.06336561372795484,-0.03316839424345134,0.03171092330065727,None,23.731000539982094
3860,-164.54600524902344,71.30782318115234,1.4214177570395892,20.724024880419645,1.6200499739969907,1625.1049032352287,-1.6501284816047705,1.0,-0.12227758020162582,0.0,-155.74798583984375,70.147216796875,-170.2701416015625,72.84165954589844,-0.06335172093392806,-0.033161099963817275,0.03197833331316965,None,23.63157025815885
3861,-164.51954650878906,71.68495178222656,1.4075506772435464,20.75240753701702,1.6096778890905659,1625.4544940448852,-1.6729693994383337,1.0,-0.12441311031579971,0.0,-155.69805908203125,70.40691375732422,-170.18356323242188,73.29185485839844,-0.06360555635248055,-0.03329437615129251,0.03237008928053259,None,23.488135530247977
3862,-164.49136352539062,72.02174377441406,1.3951260986519454,20.78128230158818,1.5998569837702932,1625.7667648163126,-1.6931354670816174,1.0,-0.12851682305335999,0.0,-155.65162658691406,70.63325500488281,-170.1030731201172,73.68423461914062,-0.06402611886159904,-0.033515203129310625,0.03272929219412175,None,23.35888917284011
3863,-164.45718383789062,72.37338256835938,1.382070750356159,20.814241406357286,1.5916370474810102,1626.09295520463,-1.7138483096959305,1.0,-0.1295747011899948,0.0,-155.60023498535156,70.8696060180664,-170.01400756835938,74.09395599365234,-0.06459512336534869,-0.03381399490498621,0.03311335422625121,None,23.22303118304258
3864,-164.41909790039062,72.71766662597656,1.3692067501846945,20.849538803873017,1.58388713380804,1626.4125317602811,-1.733933206592306,1.0,-0.13190612196922302,0.0,-155.54635620117188,71.10392761230469,-169.9205780029297,74.50016784667969,-0.06529436579006669,-0.034181210615278346,0.033581714372453296,None,23.060518139422786
3865,-164.3743896484375,73.07689666748047,1.355646732862338,20.88875267141652,1.5795772234567211,1626.74627803469,-1.7546611976895172,1.0,-0.13309603929519653,0.0,-155.48793029785156,71.34458923339844,-169.8192901611328,74.91736602783203,-0.06609096526782504,-0.03459960113530295,0.034131550694010436,None,22.87401927985204
3866,-164.32247924804688,73.45059967041016,1.3414020168237224,20.93238343330019,1.5779238302687042,1627.0938667027583,-1.7760437688357256,1.0,-0.13444814085960388,0.0,-155.4237823486328,71.594970703125,-169.70811462402344,75.35142517089844,-0.067028522133196,-0.03509208972337108,0.03471477571756847,None,22.681058092580773
3867,-164.26596069335938,73.81867980957031,1.3272370624597543,20.977669984585802,1.5793693567700702,1627.4366905673007,-1.7970093319595744,0.9152151942253113,-0.1369675248861313,0.0,-155.35714721679688,71.84199523925781,-169.59259033203125,75.77964782714844,-0.06808261426795403,-0.035645877294682236,0.03531234595674033,None,22.488330097642475
3868,-164.20599365234375,74.176025390625,1.3133603952837876,21.02282941353632,1.582111658794863,1627.7700143642003,-1.8173828927405213,0.6540518999099731,-0.13974523544311523,0.0,-155.27804565429688,72.1202163696289,-169.4554443359375,76.2619400024414,-0.06924964644313075,-0.0362591057737963,0.03602634773900219,None,22.26436814302311
3869,-164.13682556152344,74.55469512939453,1.2984641368844838,21.069313405042433,1.589304306652895,1628.1238550289602,-1.838957872023328,0.41016310453414917,-0.14092227816581726,0.0,-155.2034149169922,72.36965942382812,-169.32608032226562,76.69438171386719,-0.07054936023626053,-0.03694218611220533,0.036790326673249274,None,22.031987208445038
3870,-164.06832885742188,74.90263366699219,1.2846186286932708,21.107328798433514,1.5961255412684672,1628.4495689996522,-1.8590204582053311,0.2461443543434143,-0.14472953975200653,0.0,-155.1302490234375,72.60346221923828,-169.19924926757812,77.09968566894531,-0.07184109843142772,-0.037621216200620686,0.037494030643701895,None,21.824255020171115
3871,-163.98500061035156,75.29497528076172,1.2687641649337567,21.14015672352859,1.6073325265607208,1628.8176760620527,-1.8816412905177242,0.0,-0.14477930963039398,0.5,-155.04478454589844,72.86469268798828,-169.05111694335938,77.55253601074219,-0.07331808348570701,-0.038397801443971744,0.038357189576682604,None,21.577300173239955
3872,-163.90492248535156,75.64741516113281,1.2543717766126958,21.156321184489713,1.6199445978382396,1629.1490818842171,-1.9023446454895427,0.0,-0.14921534061431885,0.5,-154.96580505371094,73.09603881835938,-168.9141845703125,77.95357513427734,-0.07480146364840377,-0.03917794211896753,0.039108118095157615,None,21.36913948219049
3873,-163.8142547607422,76.02142333984375,1.2389230454452551,21.15305913688336,1.633190307520752,1629.501643539034,-1.9245694729179945,0.0,-0.15051478147506714,0.5,-154.8774871826172,73.34436798095703,-168.76107788085938,78.38407897949219,-0.07651113242336234,-0.040077337749794974,0.03970281383789091,None,21.20849490070632
3874,-163.7218475341797,76.3802490234375,1.223938103781652,21.126469757394627,1.6481688776897006,1629.8407629918447,-1.9463481760746235,0.0,-0.15377606451511383,0.5,-154.78929138183594,73.5826644897461,-168.60818481445312,78.79716491699219,-0.07823736111024683,-0.04098571712753479,0.04026766615953531,None,21.05921910435253
3875,-163.6236114501953,76.74034118652344,1.2086855144284956,21.07619266156845,1.6619450355945222,1630.1820178435257,-1.9686267292603392,0.0,-0.15602007508277893,0.5,-154.6993865966797,73.81647491455078,-168.4523468017578,79.2024917602539,-0.07986728916966977,-0.041843677674426066,0.04082813898633257,None,20.914173212487956
3876,-163.52516174316406,77.08245086669922,1.1939907241656564,21.007971813227357,1.674835143468079,1630.5071381004518,-1.990298993159653,0.0,-0.15907126665115356,0.5,-154.6090545654297,74.04312896728516,-168.2957305908203,79.59540557861328,-0.08122857534927302,-0.04256042564800222,0.04129385310368185,None,20.79590326349582
3877,-163.41249084472656,77.45350646972656,1.1777944436802303,20.91538104359016,1.6912028920548323,1630.8608739830054,-2.014273675063749,0.0,-0.15908284485340118,0.5,-154.50738525390625,74.2890396118164,-168.11949157714844,80.02169799804688,-0.08234383752356819,-0.04314777098820292,0.041654119192485746,None,20.705776176421917
3878,-163.29248046875,77.82830047607422,1.161161005301868,20.805310595647285,1.7066954949109068,1631.2193724245972,-2.039170854687699,0.0,-0.16003771126270294,0.5,-154.40394592285156,74.53028106689453,-167.94015502929688,80.4399185180664,-0.08297634352563822,-0.043480930594272285,0.042026100880671276,None,20.61393695465797
