steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y
6468,-117.34738159179688,-59.31547164916992,1.790719636981422,13.887932590629667,0.06703252044372032,1486.5711016729379,0.061713538487228756,0.5,0.029722556471824646,-111.25688934326172,-56.946170806884766,-125.38423156738281,-61.25559997558594
6469,-117.4081802368164,-59.04779052734375,1.7934120928434922,13.887935774567552,0.06354441188872029,1486.8458871981336,0.06570282461452144,0.5,0.03308699652552605,-111.33818054199219,-56.67987060546875,-125.4631576538086,-60.99702453613281
6470,-117.47047424316406,-58.776634216308594,1.7961934982859709,13.887713499398561,0.06494222475013167,1487.1243785595555,0.0698169779903998,0.5,0.034534163773059845,-111.42078399658203,-56.40993881225586,-125.54336547851562,-60.73492431640625
6471,-117.52914428710938,-58.52467727661133,1.7988618525401758,13.887450376276345,0.06690057364221058,1487.3833728979046,0.07358056394626483,0.5,0.03353404253721237,-111.49772644042969,-56.15892791748047,-125.61808013916016,-60.4911994934082
6472,-117.5909423828125,-58.2625732421875,1.801694390675584,13.88727704435432,0.0664458410865314,1487.6529637424273,0.07749398640924644,0.5,0.035065907984972,-111.57795715332031,-55.89762878417969,-125.69598388671875,-60.23748016357422
6473,-117.65138244628906,-58.009300231933594,1.8044904435040583,13.887025466772963,0.067444606767316,1487.9136474717798,0.08131039037602131,0.5,0.03534409776329994,-111.65570831298828,-55.644962310791016,-125.77147674560547,-59.99214172363281
6474,-117.7123031616211,-57.7572021484375,1.8073304384905189,13.8867820034882,0.06792775784386862,1488.173303514978,0.08510996378263298,0.5,0.036019857972860336,-111.7332992553711,-55.39326477050781,-125.84681701660156,-59.74774932861328
6475,-117.77188110351562,-57.51354217529297,1.8101279560575925,13.886522459526265,0.06854252273475758,1488.4244357771677,0.08882573651140156,0.5,0.0363440103828907,-111.8084716796875,-55.149837493896484,-125.91980743408203,-59.511383056640625
6476,-117.83158111572266,-57.272361755371094,1.8129451810167327,13.886265246656427,0.06886879269271118,1488.673184063917,0.09251050688654462,0.5,0.03692595288157463,-111.883056640625,-54.90869903564453,-125.99222564697266,-59.27723693847656
6477,-117.89095306396484,-57.03528594970703,1.8157604086050556,13.88599365993229,0.06930520040634613,1488.9178621411545,0.09617342458117734,0.5,0.03754927217960358,-111.95658111572266,-54.67150115966797,-126.0636215209961,-59.04692077636719
6478,-117.9549560546875,-56.78296661376953,1.8188079969984878,13.885681871830746,0.06989550743890893,1489.1784679126235,0.10007065775267723,0.5,0.039500296115875244,-112.0350112915039,-54.41884231567383,-126.1397705078125,-58.80159378051758
6479,-118.01396179199219,-56.55312728881836,1.8216451956658037,13.885290507912954,0.07199120082712795,1489.4160329864071,0.1036446656990158,0.5,0.03859897330403328,-112.10663604736328,-54.18852615356445,-126.2093276977539,-58.57796096801758
6480,-118.07987213134766,-56.29970932006836,1.824827540010394,13.884962721075786,0.07201748850882561,1489.6781880317917,0.10753536481947634,0.5,0.04096056893467903,-112.18582153320312,-53.934364318847656,-126.28620910644531,-58.33116912841797
6481,-118.14202880859375,-56.063690185546875,1.827856353118141,13.884513994764406,0.07422648572825574,1489.9225267810434,0.11113591170271135,0.5,0.0402299165725708,-112.25975036621094,-53.69746398925781,-126.35799407958984,-58.10114288330078
6482,-118.2108383178711,-55.80581283569336,1.8312253850551456,13.884122082408863,0.07447921528022361,1490.1897169474682,0.11499325819322638,0.5,0.042285382747650146,-112.34072875976562,-53.438392639160156,-126.4366226196289,-57.849586486816406
6483,-118.28140258789062,-55.54502487182617,1.834710264499569,13.883593805200647,0.07658871406055834,1490.4601874099305,0.1187798455104697,0.5,0.04268890619277954,-112.42289733886719,-53.176151275634766,-126.51641082763672,-57.59495162963867
6484,-118.35041809082031,-55.29340362548828,1.838145209673553,13.883093083815993,0.07789893958965255,1490.721382185161,0.12231763080941288,0.5,0.04215245321393013,-112.50234985351562,-52.92290115356445,-126.59355926513672,-57.34904861450195
6485,-118.41867065429688,-55.04780197143555,1.8415460663855843,13.882676317747709,0.07766777958785331,1490.9765855509395,0.12564858996159148,0.5,0.041784513741731644,-112.58013153076172,-52.675479888916016,-126.66908264160156,-57.10880661010742
6486,-118.48100280761719,-54.82616424560547,1.8446415916786378,13.882333408192977,0.0767541059924195,1491.2070509393664,0.1285586571558325,0.5,0.04026206582784653,-112.6505126953125,-52.452022552490234,-126.7374267578125,-56.89182662963867
