steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel,front_left_delta,front_right_delta
34,98.48043060302734,92.53384399414062,-0.1737224753454514,10.842389679730333,-0.34682749235495547,1898.0921930266386,1.0668832258678564,1.0,0.07658354938030243,0.0,98.95923614501953,85.8628921508789,99.00616455078125,100.63282012939453,0.016027732614496876,0.008377679113631511,2.0836126966694372e-05,None,100.0,-2.673413038253784,-2.266183614730835
35,99.03802490234375,92.4247055053711,-0.18941601759609758,11.185566887719387,-0.10464778709551181,1898.6880862714224,1.0468240273411156,1.0,0.19225135445594788,0.0,99.51717376708984,85.86112213134766,99.56410217285156,100.63105010986328,0.11985095252967548,0.06298316178980604,2.372791796106109e-05,None,100.0,2.0326173305511475,4.550271987915039
36,100.6822738647461,92.13783264160156,-0.17434409043338953,12.081639618559967,0.30817105069959383,0.0,0.9188484373992934,1.0,0.4945029020309448,0.0,101.16231536865234,85.85589599609375,101.20924377441406,100.62582397460938,0.3205848860730718,0.17442243344727643,3.0046447191087895e-05,None,100.0,6.825817108154297,10.083183288574219
37,102.42213439941406,91.94074249267578,-0.09546373069162922,12.860143759236548,0.5444085820129861,1.4220479199968465,1.0594074960419337,1.0,0.09286773204803467,0.0,102.90278625488281,85.8503646850586,102.94971466064453,100.62029266357422,0.18045641566465864,0.09549757655600317,2.8962075823143765e-05,None,100.0,12.466400146484375,16.61427116394043
38,104.12263488769531,91.93836975097656,0.044673266445750634,13.254063093643932,0.773489280204728,3.1225974727747143,1.0618687577361827,1.0,-0.03462280333042145,0.0,104.603271484375,85.84496307373047,104.65019989013672,100.6148910522461,-0.0852549812116315,-0.044681489296923206,2.2166394844282837e-05,None,100.0,19.793949127197266,18.81174087524414
39,106.02255249023438,92.17334747314453,0.1957398933415725,14.187758090592828,-0.29588581103644973,5.022556590079633,0.8268969502955257,1.0,-0.08000171184539795,0.0,106.50242614746094,85.83892822265625,106.54935455322266,100.60885620117188,-0.356318365632464,-0.19578076275666748,3.36397709267137e-05,None,100.0,0.3428075313568115,-1.9539774656295776
40,106.79383850097656,92.30217742919922,0.21905653447548876,14.530472426915447,-0.615407631547376,5.793850990923497,0.6980476900116606,1.0,-0.23036658763885498,0.0,107.27330017089844,85.83647918701172,107.32022857666016,100.60640716552734,-0.39411822903303384,-0.21910633332539287,4.587116301702363e-05,None,92.48996682477608,-4.59058952331543,-4.390411376953125
41,107.54328918457031,92.43385314941406,0.22230018145942118,14.855488973458922,-0.7143384285878507,6.543304909551913,0.5663439321106065,1.0,-0.23925882577896118,0.0,108.02232360839844,85.83409881591797,108.06925201416016,100.6040267944336,-0.39927977400132114,-0.22235626518416374,6.130453838769758e-05,None,80.00519462606536,-7.099884986877441,-8.870176315307617
42,108.30597686767578,92.56370544433594,0.2071613590190817,15.130713894935596,-0.8278171070125087,7.305992442148798,0.4364555559587559,1.0,-0.22331102192401886,0.0,108.78459167480469,85.83168029785156,108.8315200805664,100.60160827636719,-0.3750221730349081,-0.20722141842598113,7.773499783999379e-05,None,71.04871112817831,-13.636242866516113,-12.056005477905273
43,109.10224151611328,92.68315124511719,0.17369304741540603,15.417435078721118,-0.7715031418278204,8.102254991714561,0.31696596527475995,1.0,-0.18411315977573395,0.0,109.5804672241211,85.82914733886719,109.62739562988281,100.59907531738281,-0.31945104372882893,-0.17375465259480313,9.437281063616807e-05,None,64.4823794053459,-12.687202453613281,-11.303560256958008
