steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
24,152.99993896484375,-12.000004768371582,-3.141591854641466,-1.1115867881000037e-05,-3.755235432913283e-05,0.0,774.4554375423857,-0.7464345730054714,1.0,0.06641854345798492,0.0,152.79141235351562,-2.308419704437256,152.49661254882812,-20.57604217529297,0.01672954112291336,-1
25,152.99993896484375,-12.000003814697266,-3.141591854641466,3.7774011949318536e-07,5.727103386397463e-05,0.0,774.4554373657455,-0.74643363143836,1.0,0.05939434468746185,0.0,152.79141235351562,-2.308419704437256,152.49661254882812,-20.57604217529297,0.0170634463429451,-1
26,152.99794006347656,-12.000049591064453,-3.1415356619424655,0.23032408807711613,0.008596246587222526,0.003316494352744079,774.4577472704192,-0.7461612251824451,1.0,0.05148044601082802,0.0,152.78939819335938,-2.3083889484405518,152.4947967529297,-20.57601547241211,0.016943402588367462,-1
27,152.99098205566406,-12.00022029876709,-3.141388122818075,0.5459986398751986,0.017463512588836407,0.009610162098391918,774.4657906335034,-0.7452226556227479,1.0,0.04255358874797821,0.0,152.78237915039062,-2.3082809448242188,152.488525390625,-20.575918197631836,0.015352407470345497,-1
28,152.97669982910156,-12.00056266784668,-3.1411263340829203,0.8633712094476741,0.02437440218601587,0.014245632707568939,774.4823024118288,-0.7432805626881419,1.0,0.03256296366453171,0.0,152.76795959472656,-2.3080499172210693,152.47564697265625,-20.575712203979492,0.018376771360635757,-1
29,152.93780517578125,-12.001387596130371,-3.1405271228376526,1.4168372908365465,0.03265553869065051,0.018894226374825907,774.5272701874711,-0.7378335635072971,1.0,0.020257461816072464,0.0,152.7287139892578,-2.3074183464050293,152.44056701660156,-20.575145721435547,0.03171398676931858,-1
30,152.9111785888672,-12.001800537109375,-3.140250420400393,1.6598286289813733,0.027814230720637798,0.01669306328147055,774.5580428076782,-0.7339108871319652,1.0,0.009241038002073765,0.0,152.7018585205078,-2.307002544403076,152.4165496826172,-20.57477569580078,0.016575893387198448,-1
31,152.8792266845703,-12.002137184143066,-3.1400533464797276,1.890626941774997,0.019399539446233537,0.011339669511230449,774.5949577092382,-0.7289997100635608,1.0,-0.0023170295171439648,0.0,152.6696014404297,-2.3064942359924316,152.38771057128906,-20.57431983947754,0.0173791591078043,-1
32,152.84097290039062,-12.002334594726562,-3.139985169555821,2.1145977845201753,0.007043157026130925,0.0036775692968979974,774.639138180079,-0.7228492594160572,1.0,-0.014033084735274315,0.0,152.63101196289062,-2.305908441543579,152.3532257080078,-20.57379722595215,0.01853858307003975,-1
33,152.802001953125,-12.00233268737793,-3.140077581245647,2.306030674902046,-0.007461774152445909,-0.00536505622421337,774.6841333267338,-0.7163072174948797,1.0,-0.025416025891900063,0.0,152.59165954589844,-2.3053231239318848,152.31805419921875,-20.573274612426758,0.017224738374352455,-1
34,152.762451171875,-12.002120971679688,-3.1403311141814227,2.4743645479622915,-0.02364974974457326,-0.015611891126596156,774.72978197495,-0.7093824067181259,1.0,-0.03644242137670517,0.0,152.55174255371094,-2.304722547531128,152.28237915039062,-20.572736740112305,0.01623973250389099,-1
35,152.71994018554688,-12.001666069030762,-3.1407737315545936,2.6341266068184996,-0.04190662774077821,-0.027036825855550124,774.7788287290281,-0.7016268054806378,1.0,-0.04709640145301819,0.0,152.50881958007812,-2.304090976715088,152.2440185546875,-20.572172164916992,0.016370907425880432,-1
36,152.67022705078125,-12.000842094421387,-3.141497845054986,2.800368783055624,-0.06303074726395515,-0.04019773131307781,774.8361588028156,-0.6921531608066124,1.0,-0.05730600655078888,0.0,152.45863342285156,-2.303382158279419,152.19915771484375,-20.57154083251953,0.018013790249824524,-1
37,152.62252807617188,-11.999791145324707,3.1408171410803623,2.9444764201887432,-0.08316488652129406,-0.05310426081408717,774.8911434024702,-0.6826887360717109,1.0,-0.06662192940711975,0.0,152.4104766845703,-2.302704334259033,152.15609741210938,-20.570934295654297,0.0163889117538929,-1
38,152.57305908203125,-11.998438835144043,3.13974655032215,3.08157434328642,-0.10364943971992865,-0.06597683830408176,774.9481431835761,-0.6724923106052844,1.0,-0.07523970305919647,0.0,152.3605194091797,-2.302011013031006,152.1114501953125,-20.5703125,0.016226766631007195,-1
39,152.52078247070312,-11.996732711791992,3.1384434656007745,3.2157045818942427,-0.12451780746278171,-0.07929312809469262,775.0083490719129,-0.6613087175073397,1.0,-0.08299972116947174,0.0,152.30772399902344,-2.301302433013916,152.06427001953125,-20.56968116760254,0.01643376611173153,-1
40,152.46566772460938,-11.994647026062012,3.1369057563873626,3.347456379865376,-0.1452560813725807,-0.09246055414365495,775.071791673124,-0.6490842630693225,1.0,-0.08979615569114685,0.0,152.25204467773438,-2.300562858581543,152.01449584960938,-20.569019317626953,0.016630975529551506,-1
41,152.40512084960938,-11.992040634155273,3.1350487341592506,3.4830121979486566,-0.1661092546480894,-0.10575129406814963,775.1414495951138,-0.6351655200840614,1.0,-0.09554571658372879,0.0,152.19088745117188,-2.2997775077819824,151.9598388671875,-20.568317413330078,0.017560278996825218,-1
42,152.34671020507812,-11.989251136779785,3.1331246002716684,3.6065065575423274,-0.18446090209608668,-0.1177394455156639,775.208614439527,-0.6212889059720397,1.0,-0.10014626383781433,0.0,152.13189697265625,-2.2990379333496094,151.9071044921875,-20.567655563354492,0.01634230464696884,-1
43,151.92271423339844,-11.964295387268066,3.1182804066716754,4.370555110563041,-0.24007209029540966,-0.1406152684111356,775.6955589847397,-0.5106318563741876,1.0,-0.10222653299570084,0.0,151.70350646972656,-2.2943084239959717,151.52420043945312,-20.56342887878418,0.10556601546704769,-1
44,151.4061737060547,-11.924821853637695,3.0995027241416357,5.120751634348885,-0.27998322830779565,-0.17318485492516017,776.2863495714769,-0.3541248997554875,1.0,-0.09403879940509796,0.0,151.1814422607422,-2.2899794578552246,151.0575714111328,-20.559560775756836,0.10842566192150116,-1
45,150.81382751464844,-11.868372917175293,3.077799026521926,5.768005145800896,-0.2973576090726474,-0.20060713237003316,776.9575323249385,-0.14605377829445595,1.0,-0.08195070177316666,0.0,150.5825653076172,-2.2869601249694824,150.5222930908203,-20.556861877441406,0.10819005966186523,-1
46,150.1428985595703,-11.792943000793457,3.0549600233295156,6.3843226147466,-0.28369134258652295,-0.20458519463192623,777.0884367419609,0.5268337920485975,1.0,-0.028598183766007423,0.0,149.90402221679688,-2.2860512733459473,149.91580200195312,-20.556047439575195,0.1116356598213315,-1
47,149.4491424560547,-11.703784942626953,3.0344371713371467,7.151667661477913,-0.23065062750978638,-0.19878961894861644,777.0884380944764,1.2206885026810088,1.0,0.07586244493722916,0.0,148.9253387451172,-2.28947114944458,149.04103088378906,-20.559106826782227,0.10323905292898417,-1
48,148.29115295410156,-11.575031280517578,3.0358960509822923,8.181060754461354,0.2043465003608571,0.006846135096681076,777.0884426619975,-0.16389149107777756,1.0,0.2842768728733063,0.0,147.75892639160156,-2.300809383392334,147.99847412109375,-20.56924057006836,0.21309536322951317,-1
49,147.42095947265625,-11.51045036315918,3.057234096584334,8.900577643587566,0.28522995512020877,0.20948729574263802,0.8401399070107946,-0.06173785147601511,1.0,0.12448126077651978,0.0,146.88186645507812,-2.3145508766174316,147.21453857421875,-20.58152198791504,0.1018584230914712,-1
50,146.52789306640625,-11.490985870361328,3.1028860039904727,9.446377329025687,0.700316698268258,0.47040254250173136,1.777154199630441,-0.012643516486123524,1.0,0.06964870542287827,0.0,145.98094177246094,-2.3333141803741455,146.40927124023438,-20.59829330444336,0.09704859834164381,-1
