steps,X,Y,yaw,vx,vy,dt,progress,error,cmd_throttle,cmd_steer
1421,200.16009521484375,55.82061004638672,-1.7524465500075663,5.645748028984161,-0.235121628988457,0.018519796431064606,123.72137704132632,-0.4061296847781879,-0.06266780942678452,-0.09146365523338318
1422,200.13780212402344,55.71857452392578,-1.7558930799322923,5.602813447458174,-0.23502501950241728,0.01860121078789234,123.82207333298157,-0.4081635726265796,-0.07257576286792755,-0.09180215746164322
1423,200.11474609375,55.61482620239258,-1.759425629960228,5.557517712763118,-0.23445278387704582,0.019081180915236473,123.92449739459184,-0.41024387365465637,-0.08245468139648438,-0.09245028346776962
1424,200.0935516357422,55.52109146118164,-1.7626159637880885,5.52302065795174,-0.23593951848093697,0.01737416721880436,124.01707683390558,-0.41210940890370656,-0.09230062365531921,-0.09174955636262894
1425,200.07125854492188,55.42416000366211,-1.7659690167585527,5.480910607233157,-0.2350576356993359,0.018107283860445023,124.11285972132288,-0.41401373109737816,-0.1021096408367157,-0.09232435375452042
1426,200.04876708984375,55.32774353027344,-1.7693002318080782,5.441601574374845,-0.23483529495568223,0.018159780651330948,124.20816813681732,-0.4159446552380874,-0.11187782138586044,-0.09284355491399765
1427,200.0260772705078,55.23222351074219,-1.7726141363105183,5.402764699241011,-0.23481998350659739,0.018134133890271187,124.30264927750818,-0.4178021965461842,-0.12160124629735947,-0.09284814447164536
1428,200.00296020507812,55.13631057739258,-1.7759591997977124,5.3636161410319065,-0.23437688907819165,0.018356820568442345,124.39756262229784,-0.419685181044145,-0.13127604126930237,-0.09335196018218994
1429,199.980712890625,55.04547119140625,-1.7791303588657243,5.330336713130839,-0.2349930658237882,0.017516804859042168,124.48750848837099,-0.4214432413777631,-0.14089831709861755,-0.09307894855737686
1430,199.959228515625,54.958953857421875,-1.7821727540950307,5.30000331751744,-0.2354313919116382,0.01679302752017975,124.57321889419282,-0.42311899047980556,-0.1504642367362976,-0.09300254285335541
1431,199.93560791015625,54.865135192871094,-1.7855055670412103,5.261509836439158,-0.23406896873679917,0.018347373232245445,124.66621239886,-0.42494164227398895,-0.1599699854850769,-0.09410158544778824
1432,199.91329956054688,54.77798843383789,-1.7885739280911452,5.233519435397258,-0.2351390400033453,0.017162781208753586,124.75265790003937,-0.42657713427086785,-0.16941173374652863,-0.09349288791418076
1433,199.8905029296875,54.68998718261719,-1.7917058055330783,5.200923228501758,-0.2346303778412111,0.017444970086216927,124.83999376632389,-0.4282601769253124,-0.17878572642803192,-0.09406724572181702
1434,199.86700439453125,54.60056686401367,-1.7948940088320668,5.168877756936799,-0.2343459298851731,0.017852364107966423,124.92879837104087,-0.42994935508913745,-0.18808820843696594,-0.09443575888872147
1435,199.8434295654297,54.51209259033203,-1.798055713678209,5.138675743933545,-0.2343116795382012,0.017786040902137756,125.01672352344879,-0.43160771780169477,-0.19731545448303223,-0.09461335837841034
1436,199.8177032470703,54.416908264160156,-1.8014934551713375,5.1017175168256035,-0.23283343516331612,0.019279953092336655,125.1113866965258,-0.4333765525071751,-0.2064637690782547,-0.09551948308944702
1437,199.7929229736328,54.326416015625,-1.8047350548501822,5.073073252678619,-0.23345179702569974,0.018464883789420128,125.20144504421631,-0.43507126790907635,-0.21552951633930206,-0.09548783302307129
1438,199.76612854003906,54.229915618896484,-1.8082562864434848,5.035812360530901,-0.23209043377184457,0.01984061673283577,125.29755717965729,-0.4368722919737923,-0.22450904548168182,-0.09637957811355591
1439,199.7403106689453,54.138309478759766,-1.8115677941009438,5.0083506615789855,-0.2329982641119155,0.018971484154462814,125.38887630018087,-0.43854896113132735,-0.23339878022670746,-0.09609314054250717
1440,199.71658325195312,54.05466842651367,-1.8150751772565783,5.019824756493317,-0.23661574317739698,0.01735752634704113,125.47227855134152,-0.4402166978860398,-0.24219514429569244,-0.0963820219039917
1441,199.691650390625,53.96923065185547,-1.8181968015283145,5.042415302522887,-0.2490079601658839,0.017660565674304962,125.5576500839842,-0.4415368870039307,-0.2508946359157562,-0.09490831941366196
1442,199.6682586669922,53.890037536621094,-1.8211075034417168,5.024985320054121,-0.2489940210076098,0.016400359570980072,125.63684709480523,-0.4427477110565862,-0.25949379801750183,-0.09460366517305374
1443,199.64306640625,53.805599212646484,-1.8241576218381845,4.993800170862736,-0.24380070287981126,0.017600001767277718,125.72134705946176,-0.44407109084173596,-0.2679891586303711,-0.0954311192035675
1444,199.61691284179688,53.71910095214844,-1.8272411629063328,5.025203023701428,-0.25115601152661404,0.01798083446919918,125.8079938258935,-0.44538860592924095,-0.27637729048728943,-0.09566529840230942
1445,199.5909881591797,53.63484573364258,-1.8300589204976911,5.033916688035091,-0.25529000541169933,0.01748749054968357,125.8925117324241,-0.446529944523788,-0.2846549153327942,-0.09501267969608307
1446,199.5641326904297,53.54801940917969,-1.8332468574805705,4.996329929539068,-0.24883940119436443,0.01814483292400837,125.97963701698116,-0.4478697180077051,-0.29281866550445557,-0.09627281129360199
1447,199.5341796875,53.45252227783203,-1.8366988468855312,5.030383814120507,-0.2556492094943168,0.019900338724255562,126.07557216591724,-0.4492972768643779,-0.3008652925491333,-0.09699724614620209
1448,199.5070343017578,53.36712646484375,-1.839774664786518,5.024743390851959,-0.2571585553375655,0.017796048894524574,126.16145614716187,-0.45054261564744535,-0.3087915778160095,-0.09633521735668182
1449,199.4797821044922,53.28204345703125,-1.8429076074928874,4.988836147801625,-0.25052221658061935,0.01786881498992443,126.24707751547157,-0.4518813487083958,-0.31659436225891113,-0.09706993401050568
1450,199.449951171875,53.190208435058594,-1.8462233762080904,5.026442890217031,-0.25762549251280253,0.019215241074562073,126.33961012166425,-0.453262575533878,-0.3242705166339874,-0.0975586473941803
1451,199.4207305908203,53.10166931152344,-1.8491792187019696,5.028525604722539,-0.2607826266779165,0.018512824550271034,126.42895471357622,-0.4544853020728154,-0.3318169414997101,-0.09701069444417953
1452,199.39125061035156,53.01262664794922,-1.8525198879733649,4.98949244377813,-0.2529822564188058,0.01875925622880459,126.51882718074953,-0.45595165480008937,-0.33923065662384033,-0.09852209687232971
1453,199.36550903320312,52.93579864501953,-1.8553901098381977,5.026313266508653,-0.25960013328666576,0.01612553559243679,126.5964601587118,-0.45719124703534775,-0.3465086817741394,-0.09763620793819427
1454,199.3385467529297,52.85633087158203,-1.8584077376693666,5.045039760041178,-0.26371891708938144,0.016625862568616867,126.67686163035704,-0.45841391283159016,-0.3536481261253357,-0.09779611229896545
1455,199.30868530273438,52.76911926269531,-1.8616751700107848,4.983269175644549,-0.2591617305828191,0.018332386389374733,126.76517856612381,-0.4598025723089621,-0.3606460988521576,-0.09890381246805191
1456,199.28024291992188,52.686981201171875,-1.8648355432763817,5.050712704628387,-0.26470624239637863,0.017220409587025642,126.84845476157744,-0.461102380873456,-0.36749979853630066,-0.098719522356987
1457,199.25169372558594,52.60545349121094,-1.86800363970914,5.072379158385788,-0.26463303339749067,0.017026204615831375,126.93121136719606,-0.46237438768680916,-0.37420654296875,-0.09883490949869156
1458,199.21923828125,52.51352310180664,-1.8716762720104139,5.088528953108722,-0.2602287566093522,0.01922972872853279,127.02460902086395,-0.463898688646073,-0.38076359033584595,-0.10040124505758286
1459,199.18850708007812,52.4278450012207,-1.8746464955741793,5.055819158927614,-0.26565054171194546,0.01809714362025261,127.11181127328577,-0.46519022756463857,-0.3871683180332184,-0.09949573874473572
1460,199.15921020507812,52.34687423706055,-1.8777311019067635,5.0880294426834825,-0.2704221435984,0.01693008467555046,127.19430484055215,-0.4664616027469611,-0.39341822266578674,-0.09964919835329056
1461,199.12530517578125,52.253944396972656,-1.881416916855433,5.065643892499752,-0.26605151336324595,0.019433561712503433,127.28907457237844,-0.4680054083622739,-0.3995107412338257,-0.10132011026144028
1462,199.0910186767578,52.160926818847656,-1.8849750332298334,5.0336059522805625,-0.26282648234259276,0.01954672485589981,127.38405005111264,-0.46959830217215764,-0.4054434597492218,-0.10188412666320801
1463,199.0583953857422,52.073211669921875,-1.8887190382483214,5.05561141962697,-0.26476908714208647,0.01841842569410801,127.4737094289426,-0.4711734322924263,-0.41121402382850647,-0.10211033374071121
1464,199.0251922607422,51.98483657836914,-1.8923902058109956,5.050400768573725,-0.2612126947772746,0.018648458644747734,127.56415789170028,-0.4727893018803732,-0.41682007908821106,-0.10263720899820328
1465,198.99472045898438,51.90454864501953,-1.8957299429760095,5.051135278885102,-0.260046813451962,0.01699376478791237,127.64643598020352,-0.4742695272211231,-0.42225944995880127,-0.10225503146648407
1466,198.96359252929688,51.82326889038086,-1.8990379885240514,5.039939935952331,-0.2573496218136684,0.017244022339582443,127.72982887196987,-0.47579866872085874,-0.427529901266098,-0.10280544310808182
1467,198.93284606933594,51.74374008178711,-1.9022782566223508,5.040067984049158,-0.25769841625713497,0.016906781122088432,127.81152810581416,-0.4773110854686506,-0.4326293468475342,-0.10302430391311646
