steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel
131,116.32716369628906,92.85562133789062,0.006422842868741725,18.188443560965386,0.032964592700797296,15.327173223932789,0.14416889227270885,1.0,-0.0024818582460284233,0.0,116.80476379394531,85.80619812011719,116.85169219970703,100.57612609863281,-0.012200373778326737,-0.0063768615908920395,0.00020673499789779044,None,100.0
132,116.73455047607422,92.85848236083984,0.00756247191702468,18.32802608520472,0.003874700524646807,15.734556359126287,0.14131153812796377,1.0,-0.004433408845216036,0.0,117.21214294433594,85.80490112304688,117.25907135009766,100.5748291015625,-0.014356340113203735,-0.007503899601458532,0.00022915129333551183,None,100.0
133,117.07093811035156,92.86078643798828,0.008240076325841162,18.442241295157118,-0.014919147445007302,16.070942167770482,0.13901366378885566,1.0,-0.006383043713867664,0.0,117.54851531982422,85.8038330078125,117.59544372558594,100.57376098632812,-0.015631601070354006,-0.00817058274138873,0.0002492562542322113,None,100.0
134,117.46963500976562,92.86348724365234,0.008772045874476393,18.576523397776203,-0.03227161836055173,16.469638464382452,0.13632416134286277,1.0,-0.007117741741240025,0.0,117.94720458984375,85.80256652832031,117.99413299560547,100.57249450683594,-0.0166234520804393,-0.008689125098607437,0.0002707831280789891,None,100.0
135,117.86723327636719,92.86611938476562,0.009031036209891997,18.709294467051247,-0.0433875306428472,16.86723457970937,0.13370781185958378,1.0,-0.0077912998385727406,0.0,118.34478759765625,85.80130767822266,118.39171600341797,100.57123565673828,-0.017093039866182925,-0.008934633556055348,0.0002825353882593238,None,100.0
136,118.18612670898438,92.86820983886719,0.009061917435266608,18.814960620768467,-0.048821363056521946,17.186125022323136,0.1316334632771129,1.0,-0.008475901558995247,0.0,118.66366577148438,85.80029296875,118.7105941772461,100.57022094726562,-0.01713192360624564,-0.00895496283389371,0.0002902392249059628,None,100.0
137,118.53038024902344,92.87040710449219,0.00893976780679984,18.928225682424404,-0.052051913555098916,17.530376337203634,0.12945719027380517,1.0,-0.008228461258113384,0.0,119.00791931152344,85.79920196533203,119.05484771728516,100.56912994384766,-0.0168775936973003,-0.00882199409673692,0.00028611620232982536,None,100.0
138,118.88754272460938,92.87266540527344,0.008674393166849152,19.044912223598466,-0.052051191504303915,17.887537435124514,0.12722480554358975,1.0,-0.007756736595183611,0.0,119.36506652832031,85.79806518554688,119.41199493408203,100.5679931640625,-0.016350361489443688,-0.00854635071829,0.00028184210269759417,None,100.0
139,119.30278778076172,92.8752212524414,0.008240140304125163,19.179580484889687,-0.048954877730434956,18.30277926461186,0.1247046350816829,1.0,-0.006744713988155127,0.0,119.78030395507812,85.79674530029297,119.82723236083984,100.5666732788086,-0.015500116083627847,-0.008101843436390881,0.00028600245750447743,None,100.0
140,119.65835571289062,92.87737274169922,0.007787651549866587,19.294003068609577,-0.04370905558126631,18.6583455098935,0.12258865073356316,1.0,-0.006375877186655998,0.0,120.13585662841797,85.79561614990234,120.18278503417969,100.56554412841797,-0.014621294015005457,-0.00764241029746873,0.00029188587321864304,None,100.0
141,120.07988739013672,92.87985229492188,0.007194967650012704,19.428665786608228,-0.036670541302061085,19.079872251017424,0.12015738311325609,1.0,-0.005037818569689989,0.0,120.557373046875,85.79427337646484,120.60430145263672,100.56420135498047,-0.0134769553764677,-0.007044189633037862,0.00030910369646342667,None,100.0
